/vehicle/sensor/steering_report [1723106158124669123]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=943015103), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158134782967]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=953014462), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158144610767]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=963018196), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158165014641]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=973009971), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158166600318]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=983011243), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158175135023]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=993027475), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158184842549]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=3021148), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158194956319]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=13012648), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158204711144]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=23011035), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158214793575]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=33011846), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158224722990]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=43015034), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158234823269]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=53011077), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158244944724]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=63013848), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158254790751]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=73013731), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158264848760]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=83015103), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106158274962795]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=93021049), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158284869507]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=103019647), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158294767135]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=113014806), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158304550530]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=123011737), steering_tire_angle=0.0)
